OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,GarageFinish,GarageCars,GarageArea,SalePrice
5,1940,1950,3,3,735,735,1034,1,3,5,2,1,240,109000
5,1956,1956,3,3,1144,1144,1144,1,3,6,2,1,596,129000
5,1972,1972,3,3,894,894,894,1,3,6,1,2,600,123000
5,1962,1962,3,3,864,876,1812,2,3,8,1,1,264,169500
5,1920,1950,3,1,961,1077,1077,1,3,6,2,1,338,67000
7,2006,2007,2,2,1092,1112,1550,2,2,7,0,2,438,241000
8,1996,1996,2,2,1260,1288,1288,1,0,4,0,2,500,245500
7,2005,2005,2,2,1310,1310,1310,2,2,6,0,2,400,164990
5,1940,1997,3,3,672,672,672,1,3,4,2,1,240,108000
8,1998,1998,2,2,1141,1165,2263,2,2,10,0,2,420,258000
6,1995,1996,3,2,806,806,1572,2,3,7,0,2,373,168000
4,1976,1993,3,3,1281,1620,1620,2,3,8,2,2,490,150000
6,1936,1950,3,3,1064,1166,1639,1,3,6,2,1,240,115000
6,1915,1976,3,2,840,840,1680,2,3,8,2,1,308,177000
7,2006,2006,2,0,1063,1071,2172,2,2,9,1,3,947,280000
8,2007,2008,2,0,1034,1050,2078,2,0,8,0,3,836,339750
5,1958,1958,3,3,1276,1276,1276,1,3,5,2,1,350,60000
5,1955,1955,3,3,1056,1056,1056,1,3,5,0,2,572,145000
7,2009,2009,0,0,1470,1478,1478,2,2,7,0,2,484,222000
5,1927,1950,3,3,1008,1028,1028,1,3,5,2,2,360,115000
7,1993,1993,2,2,1080,1080,2097,2,2,9,2,3,678,228000
7,2007,2007,2,2,1340,1340,1340,2,2,6,0,2,396,181134
6,1978,1978,3,3,672,672,1400,1,3,6,0,2,440,149500
6,1918,1950,3,2,1370,1370,2624,2,3,10,2,3,864,239000
5,1940,1950,3,3,756,756,1134,1,3,7,2,1,240,126000
5,1968,1968,3,3,1056,1056,1056,1,3,6,2,1,304,142000
7,1997,1998,3,2,1344,1344,1344,2,3,8,0,4,784,206300
6,1977,2000,2,2,1602,1602,1602,2,2,8,0,2,529,215000
5,1954,1954,3,3,988,988,988,1,3,4,1,2,520,113000
8,1998,1998,2,2,1470,1470,2630,2,2,8,0,3,696,315000
6,1956,1956,3,2,1196,1196,1196,1,3,6,1,1,297,139000
7,1946,1992,3,3,651,707,1389,1,3,6,2,1,240,135000
7,1989,1989,2,2,1518,1644,1644,2,2,5,0,2,569,275000
4,1957,1957,3,3,907,907,907,1,3,5,2,1,352,109008
7,2007,2007,2,2,1208,1208,1208,2,2,6,1,2,628,195400
6,1988,1988,3,2,1392,1412,1412,2,2,6,2,2,576,175000
6,1971,1971,3,3,483,483,987,1,3,4,2,1,264,85400
6,1920,1998,3,3,901,1088,1198,1,3,7,3,0,0,79900
5,1971,1971,3,3,765,765,1365,1,3,6,2,2,440,122500
6,1997,1998,3,2,926,926,1604,2,3,7,0,2,470,181000
4,1972,1972,3,2,630,630,630,1,3,3,3,0,0,81000
7,1996,1996,2,2,799,827,1661,2,2,6,1,2,550,212000
6,1920,1950,3,1,648,734,1118,1,3,6,2,2,440,116000
6,1926,2004,2,3,884,904,904,1,3,4,2,1,180,119000
5,1913,2002,3,3,440,694,694,1,2,4,2,1,352,90350
6,1920,2000,3,3,684,684,1196,1,2,7,2,2,528,110000
10,2008,2008,0,0,3094,2402,2402,2,0,10,0,3,672,555000
4,1955,1955,3,3,1440,1440,1440,2,1,8,3,0,0,118000
5,1930,1992,3,3,1078,1128,1573,2,3,8,2,2,360,162900
7,2006,2007,2,0,1258,1258,1258,2,2,6,0,3,648,172500
7,1994,1995,2,2,915,933,1908,2,2,8,2,2,493,210000
6,1956,1956,3,3,1436,1689,1689,1,3,7,2,2,480,127500
6,1966,2002,2,3,1517,1888,1888,2,2,6,0,2,578,190000
7,1998,1999,2,2,930,956,1886,2,2,10,0,2,431,199900
6,1937,1950,3,3,780,780,1376,2,3,7,2,1,198,119500
3,1948,2002,3,3,649,679,1183,1,3,6,2,1,308,120000
6,1930,2005,3,3,813,813,813,1,2,5,2,1,270,110000
7,1975,1975,3,2,1533,1533,1533,2,2,5,2,2,576,280000
6,1996,1997,2,0,872,888,1756,2,3,7,0,2,422,204000
8,2008,2008,2,2,768,786,1590,2,2,6,1,2,676,210000
5,1976,1976,3,3,1728,1728,1728,2,3,8,2,2,560,188000
7,1973,1973,3,3,1242,1242,1242,1,3,6,2,2,528,175500
5,1916,1950,3,3,624,624,1344,1,3,7,2,3,513,98000
4,1954,1994,3,2,1364,1663,1663,1,2,6,0,2,529,256000
8,1925,1996,3,3,588,833,1666,1,2,7,2,1,228,161000
5,1950,1950,3,3,709,979,1203,1,2,5,2,1,352,110000
8,2009,2009,2,2,832,832,1935,2,3,8,0,2,552,263435
7,1936,2007,2,2,560,575,1135,1,2,6,1,2,576,155000
5,1965,1965,3,3,864,864,864,1,3,5,2,1,360,62383
6,1934,1995,3,3,715,849,1660,1,3,6,2,1,240,188700
5,1978,1978,3,2,1040,1040,1040,2,3,5,3,0,0,124000
7,2004,2004,2,2,1375,1414,1414,2,2,6,0,2,398,178740
7,1970,1970,3,3,1277,1277,1277,1,3,5,2,2,526,167000
5,1942,1995,3,3,728,888,1644,1,2,7,2,1,312,146500
8,2006,2006,2,2,1626,1634,1634,2,2,7,1,3,866,250000
6,1993,1993,2,2,832,832,1710,2,2,7,1,2,506,187000
8,1985,1985,2,2,1488,1502,1502,1,2,4,1,2,528,212000
7,1977,1977,3,2,808,1161,1969,2,3,8,1,2,534,190000
6,2005,2005,3,2,547,1072,1072,1,3,5,1,2,525,148000
8,2006,2007,2,0,1976,1976,1976,2,2,7,1,3,908,440000
8,2000,2000,2,2,1494,1652,1652,2,0,6,1,2,499,251000
5,1963,1963,3,3,970,970,970,1,3,5,2,2,624,132500
6,1997,1998,3,2,1478,1493,1493,2,2,7,0,2,508,208900
9,2006,2006,0,2,2153,2069,2643,2,0,9,0,3,694,380000
8,2007,2008,2,0,1705,1718,1718,2,2,7,1,3,826,297000
4,1937,2000,3,1,907,1131,1131,1,3,7,2,2,672,89471
9,2004,2005,2,0,1833,1850,1850,2,2,8,0,3,772,326000
9,2003,2004,2,0,1792,1792,1792,2,0,6,0,3,874,374000
7,1915,2005,2,3,910,916,1826,1,0,7,2,1,164,155000
6,1998,1998,3,0,1216,1216,1216,2,3,5,2,2,402,164000
5,1962,2001,3,3,999,999,999,1,2,6,2,1,264,132500
5,1950,2007,2,3,1113,1113,1113,1,2,5,2,1,264,147000
5,1965,1965,3,3,1073,1073,1073,1,3,6,1,2,515,156000
5,1971,1971,3,2,1484,1484,1484,2,3,7,2,2,487,175000
5,1900,1970,3,3,954,1766,2414,2,3,10,2,2,520,160000
4,1970,2002,3,2,630,630,630,1,2,3,2,1,286,86000
5,1976,1976,3,2,264,616,1304,1,3,4,0,1,336,115000
6,1941,1950,3,3,806,958,1578,1,1,5,2,1,240,133000
6,2006,2006,2,2,728,728,1456,2,3,8,1,2,429,172785
5,1960,1960,3,3,1269,1269,1269,1,3,6,2,1,308,155000
5,1938,1996,3,1,190,886,886,1,3,4,2,1,273,91300
4,1920,1950,3,3,720,720,720,1,3,4,3,0,0,34900
8,1992,1993,2,2,3200,3228,3228,3,2,10,1,2,546,430000
7,1925,1950,3,3,1026,1133,1820,2,3,8,2,1,240,184000
5,1967,2004,3,3,864,899,899,1,2,5,0,1,288,130000
5,1958,1985,3,3,912,912,912,1,3,5,0,1,297,120000
6,1973,1973,3,3,672,672,1218,1,3,7,2,1,264,113000
7,2005,2005,2,2,866,866,1768,2,2,7,1,2,603,226700
5,1965,1965,3,3,1214,1214,1214,1,3,6,2,2,461,140000
7,1959,1997,3,3,1501,1801,1801,2,3,6,0,2,484,289000
6,1974,1974,3,3,855,855,1322,2,3,6,2,2,440,147000
5,1952,1952,3,3,960,960,1960,2,3,10,2,2,400,124500
8,1993,1994,2,2,777,1065,1911,2,2,8,1,2,471,215000
6,2009,2009,2,2,1218,1218,1218,2,2,4,0,2,676,208300
7,1928,2005,3,3,689,689,1378,2,2,7,2,2,360,161000
5,1959,1959,3,3,1041,1041,1041,1,3,6,1,1,270,124500
5,1951,2000,2,3,1008,1363,1363,1,3,6,2,1,288,164900
7,2005,2006,2,2,1368,1368,1368,2,2,6,1,2,474,202665
5,1958,1958,3,3,864,864,864,1,3,5,2,2,624,129900
6,1983,1983,3,3,1084,1080,1080,1,3,5,2,2,484,134000
5,1926,1950,3,3,768,789,789,1,3,5,2,1,200,96500
10,2009,2009,0,0,2006,2020,2020,2,0,9,0,3,900,402861
6,1972,1972,3,3,689,1378,2119,2,3,7,1,2,583,158000
7,1996,1997,2,2,1264,1277,2344,2,2,7,1,3,889,265000
6,1998,1998,3,2,794,882,1796,2,3,7,1,2,546,211000
7,1926,2004,2,2,1276,1276,2080,1,2,9,2,1,282,234000
4,1900,2000,3,4,0,694,1294,2,3,7,3,0,0,106250
6,1957,1957,3,3,1244,1244,1244,1,3,6,2,1,336,150000
6,1947,1950,3,3,1004,1004,1664,2,3,7,2,2,420,159000
10,2007,2008,0,0,3138,3138,4676,3,0,11,0,3,884,184750
7,1996,1997,2,2,1379,1383,2398,2,2,8,0,3,834,315750
7,2005,2005,2,2,1257,1266,1266,2,2,6,2,2,453,176000
5,1956,2000,3,2,928,928,928,1,3,4,2,1,252,132000
9,2008,2008,0,0,1452,1476,2713,2,0,11,0,3,858,446261
4,1920,2002,3,3,528,605,605,1,3,5,3,0,0,86000
6,1988,1989,2,2,1461,1509,1509,2,2,5,1,2,600,175000
6,1920,1999,3,1,611,751,1362,2,3,6,0,2,502,128000
5,1955,2007,3,4,0,827,827,1,3,5,2,1,392,107500
1,1946,1950,1,4,0,334,334,1,1,2,3,0,0,39300
8,2004,2004,2,0,707,707,1414,2,2,6,0,2,403,178000
5,1910,1991,3,2,1117,820,1347,1,3,5,3,0,0,107500
7,1998,1999,3,2,880,880,1724,2,2,8,0,2,527,188000
4,1972,1972,3,3,864,864,864,1,3,5,2,2,576,111250
5,1968,1968,3,3,1051,1159,1159,1,3,7,2,1,336,158000
8,2001,2002,2,2,1581,1601,1601,2,2,6,1,2,670,272000
9,2006,2006,0,0,1838,1838,1838,2,0,8,0,3,765,315000
8,2000,2000,2,2,969,997,2285,2,2,8,0,3,648,248000
7,1998,1999,2,0,1650,1680,1680,2,2,7,0,2,583,213250
7,1998,1998,3,2,723,767,767,1,3,4,0,1,367,133000
7,2006,2006,2,2,654,664,1496,2,2,7,1,2,426,179665
7,1988,1988,2,2,1204,1377,2183,2,2,9,2,3,786,229000
6,1923,1950,3,2,1065,915,1635,1,3,6,2,2,440,210000
5,1970,1970,3,2,768,768,768,1,3,5,2,2,624,129500
5,1955,1995,3,3,825,825,825,1,3,4,1,2,720,125000
7,2003,2004,2,2,912,912,2094,2,2,8,0,2,615,263000
6,1977,1977,3,2,1069,1069,1069,2,3,4,1,2,440,140000
5,1957,1957,3,3,928,928,928,1,3,5,0,1,288,112500
8,2006,2006,2,0,1709,1717,1717,2,2,7,1,3,908,255500
4,1949,2003,3,4,0,1126,1126,2,2,5,0,2,520,108000
7,2003,2004,2,2,998,1006,2046,2,2,8,1,3,871,284000
5,1922,1950,3,3,993,1048,1048,1,3,5,2,1,280,113000
5,1957,1957,3,3,1092,1092,1092,1,3,6,0,1,299,141000
4,1920,1950,3,3,637,897,1336,1,3,7,2,1,570,108000
7,1996,1997,3,2,729,729,1446,2,3,6,2,2,406,175000
7,2003,2004,2,2,1374,1557,1557,2,2,7,0,2,420,234000
5,1957,1996,3,2,1392,1392,1392,1,3,5,2,2,528,121500
5,1974,1975,3,2,1389,1389,1389,1,3,6,1,2,418,170000
5,1940,1969,3,3,996,996,996,1,3,6,3,0,0,108000
6,1918,1950,3,2,1163,1163,1674,2,3,8,0,2,396,185000
7,1992,2000,2,2,1095,1166,2295,2,2,9,1,2,590,268000
6,1915,1950,3,2,806,841,1647,1,1,6,2,1,216,128000
9,2005,2007,2,2,1122,1134,2504,2,0,11,0,3,656,325000
7,2004,2004,2,2,1517,1535,1535,2,2,7,1,2,532,214000
8,1983,2009,2,2,1496,1496,2132,1,2,5,0,2,612,316600
5,1979,1979,3,2,943,943,943,1,3,4,2,2,600,135960
5,1965,1965,3,3,1728,1728,1728,2,3,10,2,2,576,142600
6,1959,1959,3,3,864,864,864,1,2,4,2,1,288,120000
7,2009,2009,3,0,846,846,1692,2,2,6,1,2,650,224500
7,2000,2000,3,2,384,774,1430,2,3,8,1,2,400,170000
5,1971,2005,3,3,372,576,1109,1,3,5,2,1,288,139000
5,1947,1950,3,3,832,832,1216,1,3,6,2,1,336,118500
7,1928,1950,3,3,861,877,1477,2,3,6,2,1,216,145000
5,1966,1966,3,3,1164,1320,1320,1,3,6,1,2,564,164500
7,2007,2007,2,2,689,703,1392,2,2,5,2,2,540,146000
5,1954,1954,3,3,1050,1050,1795,2,3,7,2,1,352,131500
6,1960,1987,3,3,1144,1429,1429,1,2,7,2,2,572,181900
8,2008,2009,0,0,2042,2042,2042,2,0,8,1,3,1390,253293
6,1990,1990,3,2,816,816,816,1,3,5,3,0,0,118500
10,1893,2000,0,3,1237,1521,2775,3,2,9,2,2,880,325000
4,1935,1995,3,3,884,989,1573,1,2,6,2,1,240,133000
8,2005,2006,2,0,1868,2028,2028,2,2,7,1,3,880,369900
6,1918,2000,3,3,816,838,838,1,1,5,0,1,275,130000
5,1982,1982,3,3,840,860,860,1,3,4,2,2,528,137000
5,1968,2003,3,3,1437,1473,1473,1,0,5,2,1,452,143000
5,1930,1960,3,3,742,779,935,1,3,4,2,1,308,79500
7,2004,2004,2,2,770,770,1582,2,2,6,1,2,520,185900
10,2008,2008,0,0,1722,1728,2296,2,0,10,1,3,842,451950
5,1982,2003,3,3,816,816,816,1,3,4,0,2,816,138000
6,2003,2003,2,2,848,848,848,1,2,4,0,2,420,140000
5,1975,1975,3,2,924,924,924,1,3,5,2,1,280,110000
8,2005,2006,2,2,1814,1826,1826,2,2,7,0,3,758,319000
6,1910,1993,3,3,684,684,1368,1,3,7,2,1,216,114504
7,2006,2007,2,0,1258,1402,1402,0,2,7,0,3,648,194201
5,1977,1977,3,2,1430,1647,1647,2,2,7,0,2,621,217500
6,1980,1980,3,2,716,716,1556,2,3,6,0,2,452,151000
8,2005,2005,2,2,1058,1058,1904,2,0,8,0,2,736,275000
6,1937,1950,3,3,780,780,1375,1,2,6,2,1,544,141000
8,1992,1992,2,2,908,927,1915,2,2,8,0,2,506,220000
7,2004,2005,2,2,600,600,1200,2,2,4,1,2,480,151000
7,2002,2002,2,2,1494,1494,1494,2,2,6,1,2,530,221000
7,1965,1990,3,3,768,1186,1986,2,3,7,2,2,486,205000
5,1996,1996,3,2,1040,1040,1040,1,2,6,2,2,576,152000
5,1948,2002,3,3,896,1112,2008,3,0,8,2,1,230,225000
8,1934,1998,3,2,965,1940,3194,2,3,10,2,2,380,359100
4,1961,1961,3,3,1029,1029,1029,1,3,5,2,1,261,118500
9,2000,2000,2,0,1440,1476,2153,2,0,8,0,3,736,313000
6,1978,1978,3,2,1032,1032,1032,2,3,6,2,2,564,148000
8,2001,2001,2,2,1299,1299,1872,2,0,7,1,2,531,261500
5,2007,2007,3,2,1120,1120,1120,1,3,6,3,0,0,147000
4,1972,1972,3,2,630,630,630,1,3,3,3,0,0,75500
6,1963,1963,3,3,936,1054,1054,1,2,6,1,2,480,137500
6,2002,2003,2,2,783,807,1509,2,2,7,0,2,393,183200
6,1954,1954,3,3,832,832,832,1,2,4,2,2,528,105500
9,2007,2007,0,0,1822,1828,1828,2,2,9,2,3,774,314813
8,2003,2003,2,2,1482,1482,2262,2,2,10,0,3,749,305000
3,1914,1950,3,3,864,864,864,1,3,5,3,0,0,67000
6,1974,1997,3,3,1522,1548,2614,2,3,9,1,2,624,240000
5,1977,1977,3,3,980,980,980,1,3,6,2,2,484,135000
6,2000,2000,2,2,756,756,1512,2,2,4,2,2,440,168500
6,1972,1972,3,3,732,1012,1790,1,3,8,1,2,484,165150
6,1962,1962,3,3,1116,1116,1116,1,3,5,2,2,440,160000
5,1960,1978,3,3,978,1422,1422,1,3,6,1,1,286,139900
6,1955,1972,3,3,1156,1520,1520,1,3,7,1,1,364,153000
5,1969,1969,3,2,1040,1040,2080,1,1,9,2,2,504,135000
6,1964,1964,3,3,1248,1350,1350,1,3,6,1,2,520,168500
5,1880,1991,3,1,636,1089,1750,1,0,8,2,1,240,124000
8,2006,2006,2,2,1554,1554,1554,2,2,6,1,2,627,209500
7,1977,1977,3,3,1386,1411,1411,2,3,6,0,2,544,82500
5,1954,2005,3,3,1056,1056,1056,1,3,6,2,1,260,139400
6,1980,1980,3,3,1056,1056,1056,0,3,4,2,2,576,144000
6,1914,1995,1,3,1440,1440,3395,2,1,14,3,0,0,200000
2,1936,1950,1,3,264,800,800,1,1,4,3,0,0,60000
5,1954,1954,3,3,811,811,1387,2,2,7,2,1,256,93000
5,1910,1950,3,1,796,796,796,1,3,4,3,0,0,85000
8,2006,2006,2,2,1520,1567,1567,2,0,7,0,3,648,264561
8,2003,2004,0,0,1518,1518,1518,1,0,6,1,2,588,274000
7,2001,2001,2,2,1057,1057,1929,2,2,7,0,2,650,226000
8,1972,1995,2,2,1952,2000,2704,2,0,9,0,2,538,345000
5,1969,1969,3,3,780,780,1620,2,3,7,0,2,462,152000
9,2009,2009,0,0,1766,1766,1766,2,0,7,0,3,478,370878
6,1971,1971,3,3,981,981,981,1,3,5,2,2,576,143250
5,1950,1950,3,4,0,1048,1048,1,3,7,2,2,420,98300
6,1953,1953,3,3,1094,1094,1094,1,3,5,1,2,495,155000
6,1966,1966,3,3,756,1051,1839,1,3,7,2,2,442,155000
4,1970,1970,3,2,630,630,630,1,3,3,3,0,0,84500
4,1940,1950,3,3,755,755,1510,1,3,7,2,1,296,108000
7,1996,1996,2,2,880,909,1716,2,2,7,1,2,512,191000
6,1906,1995,3,3,756,756,1469,1,3,7,2,1,216,135000
8,1995,1995,2,2,2109,2113,2113,2,2,7,0,3,839,350000
6,1971,1971,3,3,525,525,1092,1,3,6,2,1,264,88000
5,1959,2006,2,3,1053,1053,1053,1,2,5,1,1,312,145500
7,1931,2000,3,2,776,851,1502,1,3,6,1,1,270,149000
6,1948,1950,3,3,912,912,1458,1,3,6,2,1,330,97500
5,1964,1999,3,3,1486,1486,1486,1,3,7,0,2,480,167000
7,1976,1976,3,2,793,1142,1935,2,3,7,1,2,550,197900
8,1994,2005,2,2,1629,1686,2448,2,2,8,1,3,711,402000
6,1968,1968,3,1,1392,1392,1392,1,3,5,1,2,576,110000
4,1972,1972,3,2,1138,1181,1181,2,3,6,1,2,588,137500
8,2005,2006,2,0,2077,2097,2097,1,0,8,0,3,1134,423000
8,2000,2000,2,2,1406,1454,1936,2,2,7,1,2,504,230500
6,1965,1979,3,2,1021,1465,2380,2,3,7,2,2,596,129000
6,1994,1998,3,2,1408,1679,1679,2,2,7,1,2,575,193500
5,1956,1987,3,3,1188,1437,1437,1,3,6,2,2,576,168000
4,1922,1950,3,1,700,1180,1180,1,1,5,2,1,252,137500
6,2005,2005,2,2,738,738,1476,2,2,7,0,2,540,173500
6,1925,1950,3,3,672,697,1369,2,3,6,2,1,300,103600
6,1977,1977,2,2,1208,1208,1208,1,3,6,1,2,546,165000
6,1957,2004,3,3,1477,1839,1839,2,2,7,0,2,416,257500
6,1965,1965,3,3,1136,1136,1136,1,3,5,1,1,384,140000
6,1978,1978,3,3,855,855,1441,2,3,7,2,2,440,148500
4,1900,1950,3,3,1095,1095,1774,2,3,8,2,3,779,87000
5,1924,2006,2,3,768,792,792,1,2,5,2,1,240,109500
8,2008,2008,2,0,2046,2046,2046,2,2,7,0,3,834,372500
5,1961,1961,3,3,988,988,988,1,3,5,2,2,572,128500
6,1980,1980,3,2,923,923,923,2,3,5,1,1,264,143000
5,1932,2000,3,3,793,848,1520,1,3,6,2,1,281,159434
6,1996,1997,3,2,1291,1291,1291,1,2,6,2,2,431,173000
9,2002,2002,2,2,1626,1668,1668,2,2,7,0,3,702,285000
7,1998,1998,2,2,1195,1195,1839,2,3,7,0,2,486,221000
7,1984,1984,2,2,1190,1190,2090,2,2,6,0,2,577,207500
7,2007,2007,2,2,874,874,1761,3,2,7,0,2,578,227875
7,2004,2004,2,2,551,551,1102,2,2,4,2,2,480,148800
8,2007,2007,2,2,1419,1419,1419,2,2,7,1,2,567,392000
6,2005,2006,2,2,1362,1362,1362,2,2,6,1,2,460,194700
6,2004,2004,2,2,848,848,848,1,2,3,1,2,420,141000
10,1994,1995,0,0,2444,2444,4316,3,0,10,0,3,832,755000
7,1989,1990,2,2,1210,1238,2519,2,2,9,1,2,628,335000
5,1921,1968,3,3,1073,1073,1073,1,3,4,2,1,326,108480
5,1936,1950,3,3,927,1067,1539,1,3,5,2,2,576,141500
6,1987,1987,3,2,1112,1137,1137,2,2,5,2,2,551,176000
5,1921,1950,3,3,616,616,616,1,3,4,2,1,205,89000
5,1952,1952,3,0,980,1148,1148,1,3,6,2,1,308,123500
5,1965,2009,3,3,894,894,894,1,3,5,2,1,336,138500
7,2004,2004,2,2,1391,1391,1391,2,2,5,1,2,530,196000
8,2002,2002,2,0,1800,1800,1800,2,2,7,0,3,765,312500
7,1969,1969,3,3,1164,1164,1164,1,3,6,2,2,528,140000
8,2006,2006,0,0,1234,1264,2576,2,0,10,0,3,666,361919
5,1900,1996,3,2,360,1032,1812,2,2,8,2,2,672,140000
7,2004,2005,2,2,1473,1484,1484,2,2,7,1,2,606,213000
4,1930,1950,1,4,0,372,1092,2,1,7,3,0,0,55000
7,1971,2002,3,2,1643,1824,1824,2,2,5,2,2,739,302000
8,2006,2006,2,2,1324,1324,1324,2,2,6,0,2,550,254000
7,2007,2007,2,2,728,728,1456,2,2,8,0,2,400,179540
5,1966,1966,3,3,876,904,904,1,3,6,2,1,408,109900
3,1935,2003,2,3,270,729,729,1,3,5,3,0,0,52000
4,1900,1950,3,3,859,859,1178,1,3,7,1,1,384,102776
8,1988,1989,2,2,1228,1228,1228,2,2,5,0,2,472,189000
4,1970,1970,3,3,960,960,960,1,3,6,2,2,576,129000
6,1976,2005,2,3,725,725,1479,2,2,6,1,2,475,130500
6,1974,1974,3,2,1064,1350,1350,2,3,7,1,2,478,165000
7,1890,1998,3,3,718,1576,2554,1,3,8,2,2,704,159500
5,1973,2000,3,2,1176,1178,1178,1,2,5,2,2,439,157000
7,1993,1994,2,2,1311,1325,2418,2,2,9,1,3,983,341000
5,1969,1969,3,2,971,971,971,1,3,5,2,1,300,128500
8,1985,1985,2,2,1742,1742,1742,2,2,5,1,2,564,275000
6,2004,2004,2,2,848,848,848,1,2,3,1,2,420,143000
4,1970,1970,3,3,864,864,864,1,3,5,2,2,463,124500
4,1954,1972,3,3,941,997,1470,2,3,7,2,1,548,135000
9,2007,2008,0,0,1698,1698,1698,2,0,8,0,3,768,320000
4,1970,1970,3,3,864,864,864,1,2,5,2,2,660,120500
6,1988,2007,2,2,880,1680,1680,2,2,5,0,2,540,222000
7,2007,2007,2,2,1232,1232,1232,2,2,6,1,2,632,194500
5,1958,1958,3,3,1584,1776,1776,2,3,9,2,3,888,110000
4,1925,1950,3,3,780,848,1208,1,3,5,2,2,539,103000
8,1995,1996,2,2,1595,1616,1616,2,2,5,1,2,608,236500
7,2003,2003,2,0,868,1146,1146,2,2,6,0,2,438,187500
7,1998,1999,2,2,1153,1153,2031,2,2,8,0,2,541,222500
5,1961,1983,3,3,864,1144,1144,1,3,6,1,1,264,131400
5,1968,1968,3,3,948,948,948,1,3,6,2,1,300,108000
7,1914,1970,3,2,880,880,1768,1,3,6,2,2,320,163000
3,1950,1950,3,4,0,1040,1040,2,3,6,2,2,400,93500
8,2005,2005,2,2,893,901,1801,2,2,8,0,3,800,239900
5,1987,1988,3,2,1200,1200,1200,3,3,5,3,0,0,179000
7,2004,2004,2,2,864,864,1728,2,2,7,1,2,572,190000
5,1910,2002,3,1,264,768,1432,2,3,7,2,2,360,132000
6,1961,1996,3,3,912,912,912,1,2,5,2,1,288,142000
7,2000,2001,3,2,1349,1349,1349,2,3,6,2,2,539,179000
5,1963,1999,3,2,520,1464,1464,2,3,6,1,2,480,175000
8,1993,1993,2,2,1337,1337,1337,2,2,5,1,2,462,180000
8,1976,1996,0,3,1142,1175,2715,3,2,11,0,2,831,299800
7,2000,2000,2,2,952,980,2256,2,2,8,0,2,554,236000
7,1880,2003,2,3,1240,1320,2640,1,2,8,2,4,864,265979
7,1996,1996,2,2,1720,1720,1720,2,2,7,0,2,527,260400
4,1945,1950,3,4,0,1088,1529,2,3,9,2,1,240,98000
4,1910,2004,3,3,576,792,1140,1,3,7,3,0,0,96500
7,2003,2003,2,2,660,660,1320,2,2,6,0,2,400,162000
6,1997,1997,3,2,1479,1494,1494,2,2,6,1,2,576,217000
8,2005,2005,2,2,1030,1038,2098,2,0,8,1,3,878,275500
6,1969,2005,3,3,1026,1026,1026,1,2,5,1,2,440,156000
6,1999,1999,3,2,729,742,1471,2,3,6,2,2,440,172500
8,2007,2007,2,2,866,866,1768,2,2,7,1,2,578,212000
6,1978,1978,3,3,672,672,1386,2,3,6,0,2,440,158900
7,1999,1999,3,2,744,757,1501,2,3,6,2,2,440,179400
8,1995,1995,2,2,1318,1328,2531,2,2,9,1,3,752,290000
6,1959,1959,3,3,864,864,864,1,3,5,2,1,300,127500
5,1924,1950,3,3,1145,1301,1301,1,1,5,2,2,440,100000
7,2009,2009,3,2,756,764,1547,2,2,7,2,2,614,215200
8,1999,1999,2,2,1252,1268,2365,2,2,8,1,3,856,337000
8,1995,1996,2,2,1494,1494,1494,1,0,6,0,2,481,270000
9,2008,2008,2,2,1498,1506,1506,2,0,6,0,2,592,264132
7,1988,1988,3,2,980,980,1714,2,3,7,2,2,496,196500
6,1940,1985,3,2,983,983,1750,2,3,7,2,1,423,160000
7,2004,2005,2,2,1860,1836,1836,2,2,8,0,2,484,216837
8,2003,2003,0,2,1650,1690,3279,3,0,12,0,3,841,538000
5,1982,1982,3,2,858,858,858,1,3,5,2,2,576,134900
4,1951,1951,3,1,836,1220,1220,1,3,6,2,2,396,102000
6,1976,1976,3,3,1029,1117,1117,1,3,6,2,2,672,107000
5,1958,1958,3,3,912,912,912,1,3,5,1,1,275,114500
8,2006,2006,2,2,1935,1973,1973,2,2,9,0,3,895,395000
6,1998,1998,3,0,1204,1204,1204,2,3,5,0,2,412,162000
7,2005,2006,2,2,1614,1614,1614,2,2,7,1,3,865,221500
5,1974,1974,3,3,864,894,894,1,3,5,2,2,440,142500
5,1977,1977,3,4,0,2020,2020,2,3,10,2,2,630,144000
6,1977,1977,3,2,975,1004,1004,1,3,4,2,2,504,135000
7,1995,1996,3,2,1237,1253,1253,2,3,6,0,2,402,176000
6,1992,1992,2,2,761,810,1603,2,2,7,1,2,484,175900
7,2001,2002,2,2,1413,1430,1430,2,2,6,1,2,605,187100
5,1978,1978,3,2,1097,1110,1110,1,2,4,0,2,602,165500
6,1914,2001,3,3,742,742,1484,2,3,9,3,0,0,128000
6,1967,1967,3,3,1372,1342,1342,2,3,7,2,2,457,161500
5,1915,1950,3,1,686,966,1652,2,3,7,2,1,416,139000
7,2004,2004,2,2,956,956,2084,2,2,8,1,2,618,233000
4,1954,2000,3,3,901,901,901,1,3,4,2,1,281,107900
6,1966,2007,3,3,832,976,2087,2,2,9,0,2,444,187500
7,2005,2006,2,2,1145,1145,1145,2,2,5,0,2,397,160200
6,1976,1976,3,2,1029,1062,1062,1,3,5,1,2,539,146800
7,1996,1997,2,2,1117,1127,2013,2,3,8,2,2,455,269790
